sample_id,stratum,L,k1,pc,record_excerpt,detected_blocks,gold_blocks_A,gold_blocks_B,adjudicated_blocks,false_positive_blocks,false_negative_blocks,notes
G5-001,root_verbal,233857,samavaskand,"1157,3","<L>233857<pc>1157,3<k1>samavaskand<k2>sam-ava-skand<e>1 <s>sam-ava-√ skand</s> ¦ <ab>Caus.</ab> <s>-skandayati</s>, to attack, assail, <ls>Mn. vii, 196</ls>; <div n=""to""/>to seize upon (<ab>acc.</ab>), <ls>Car.</ls><i...",,F01;F02;F05;F06;F08;F10;F12;F17,F01;F02;F06;F08;F10;F12;F17,F01;F02;F06;F08;F10;F12;F17,,,"F05=no [->B] only <ab>Caus.</ab> (derived-stem morphology, F08 territory) + <info verb=>; no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-002,botanical_bio,44451,karamBa,"255,1","<L>44451<pc>255,1<k1>karamBa<k2>karamBa/<e>1A ¦ of a son of <s1>Śakuni</s1> and father of <s1>Devarāta</s1>, <ls>Hariv.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F15;F17,F01;F10;F12;F15;F17,F01;F10;F12;F15;F17,,,
G5-003,botanical_bio,28868.1,indu,"1320,3","<L>28868.1<pc>1320,3<k1>indu<k2>indu<e>1A ¦ the weight of a silver <s1>Pala</s1>, <ls>L.</ls><info n=""sup""/> <LEND>",,F01;F10;F13;F15;F17,F01;F10;F12;F13;F15;F17,F01;F10;F13;F15;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-004,hedge_ls,181486,lamPa,"897,1","<L>181486<pc>897,1<k1>lamPa<k2>lamPa<e>1 <s>lamPa</s> ¦ <lex>m.</lex> a leap, spring, jump, <ls>L.</ls> (<ab>cf.</ab> <s>Jampa</s>). <info lex=""m""/> <LEND>",,F01;F02;F04;F09;F10;F13;F17,F01;F02;F04;F10;F12;F13;F16;F17,F01;F02;F04;F10;F13;F16;F17,,,"F09=no [->B] cf./see is a cross-reference marker (F16 per paper SS1), not editorial commentary | F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12') | F16=yes [->B] (cf. <s>Jampa</s>) textual cross-reference"
G5-005,hedge_ls,248247,sumaDura,"1230,3","<L>248247<pc>1230,3<k1>sumaDura<k2>su—maDura<e>3B <s>su—maDura</s> ¦ <lex>m.</lex> a kind of potherb, <ls>L.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F10;F12;F13;F17,F01;F02;F04;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-006,correction_edge,27214,Avarta,"156,1","<L>27214<pc>156,1<k1>Avarta<k2>A-varta/<e>2 <s>A-varta/</s> ¦ <lex>m.</lex> turning, winding, turning round, revolving, <ls>R.</ls>; <ls>ŚBr.</ls>; <ls>Sāh.</ls>; <ls>Suśr.</ls> <info n=""rev"" pc=""1320,2""/><info lex=""m...",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-007,kernel_common,162084,mARa,"806,2","<L>162084<pc>806,2<k1>mARa<k2>mARa<e>1 <s>mARa</s> ¦ <lex>m.</lex> a species of plant (= <s>mARaka</s>), <ls>L.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F10;F12;F13;F17,F01;F02;F04;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-008,correction_edge,10878,apvA,"59,3","<L>10878<pc>59,3<k1>apvA<k2>apvA/<e>1 <s>apvA/</s> ¦ (3; <s>a/pvA</s>, <ls>Naigh.</ls>) <lex>f.</lex> ‘Impurity’, <ab>N.</ab> of a deity presiding over evacuation from fright, <ls>RV. x, 103, 12</ls> (<ab>voc.</ab> <s...",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F08;F10;F12;F17,F01;F02;F04;F08;F10;F12;F17,,,"F08=yes [->B] a/pvA (Naigh.), voc. apve, acc. apvA/m - additional <s> span(s) are genuine inflected/conjugated forms of the headword"
G5-009,correction_edge,29662,izwvA,"169,3","<L>29662<pc>169,3<k1>izwvA<k2>izwvA<e>2 <s>izwvA</s> ¦ <ab>ind.p.</ab> having sacrificed or worshipped, <ls>AV.</ls> <info n=""rev"" pc=""1321,1""/> <LEND>",,F01;F02;F10;F12;F17,F01;F02;F10;F12;F17,F01;F02;F10;F12;F17,,,
G5-010,crossref_phw,159566.1,mahAcittva,"795,3","<L>159566.1<pc>795,3<k1>mahAcittva<k2>mahA—cit—tva<e>4 <s>mahA—cit—tva</s> ¦ <lex>n.</lex><info phwparent=""159566,mahAcit""/><info lex=""n""/> <LEND>",,F01;F02;F04;F10;F16;F17,F01;F02;F04;F10;F17,F01;F02;F04;F10;F17,,,F16=no [->B] only <info phwparent/phwchild=> machine relation present -> F17 per reviewer rule 3; no textual cross-ref marker (q.v./cf./id./See)
