; G5 A/B disagreements — mechanical symmetric diff of gold_blocks_A vs gold_blocks_B
; records compared: 200; records with >=1 disagreement: 115; exact-agreement records: 85
; total (record, block) disagreement rows: 146
; per-block disagreement counts: F02=1 F05=10 F06=1 F07=2 F08=35 F09=20 F12=49 F15=4 F16=24
; adjudicated by Fable 5 (claude-fable-5), session H070, 2026-07-03, reading each record in csl-orig/v02/mw/mw.txt @ 392ed6b
sample_id,L,k1,stratum,block,in_A,in_B,adjudicated,adjudication_note
G5-001,233857,samavaskand,root_verbal,F05,yes,no,no,"[->B] only <ab>Caus.</ab> (derived-stem morphology, F08 territory) + <info verb=>; no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-003,28868.1,indu,botanical_bio,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-004,181486,lamPa,hedge_ls,F09,yes,no,no,"[->B] cf./see is a cross-reference marker (F16 per paper SS1), not editorial commentary"
G5-004,181486,lamPa,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-004,181486,lamPa,hedge_ls,F16,no,yes,yes,[->B] (cf. <s>Jampa</s>) textual cross-reference
G5-005,248247,sumaDura,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-007,162084,mARa,kernel_common,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-008,10878,apvA,correction_edge,F08,no,yes,yes,"[->B] a/pvA (Naigh.), voc. apve, acc. apvA/m - additional <s> span(s) are genuine inflected/conjugated forms of the headword"
G5-010,159566.1,mahAcittva,crossref_phw,F16,yes,no,no,[->B] only <info phwparent/phwchild=> machine relation present -> F17 per reviewer rule 3; no textual cross-ref marker (q.v./cf./id./See)
G5-011,245453,sukumArA,botanical_bio,F08,no,yes,yes,[->B] (<s>A</s>) feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword
G5-011,245453,sukumArA,botanical_bio,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-012,217269,Silamba,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-013,115545,padmA,hedge_ls,F09,yes,no,no,[->B] parenthetical identifies the referent (encyclopedic gloss); the cf. inside it is F16
G5-013,115545,padmA,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-013,115545,padmA,hedge_ls,F16,no,yes,yes,[->B] (cf. <s>padma-priyA</s>) textual cross-reference
G5-014,185165,vaYjula,botanical_bio,F09,no,yes,yes,"[->B] (accord. to L. ...) reports an attributed, uncertain identification - editorial commentary"
G5-016,198175,vibarha,crossref_phw,F08,no,yes,yes,"[->B] (in <s>a-v0</s>) gives the attested compound shape of the lemma - borderline, ruled a form block"
G5-020,264842,hlAdinI,botanical_bio,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-023,214487,SaSIBU,root_verbal,F08,no,yes,yes,[->B] -Bavati: additional <s> span(s) are genuine inflected/conjugated forms of the headword
