L_number,headword,resolved_to,confidence,record_gloss,verdict
4323,adhimukta,Buddh.,same-cluster,"| confident, ib.",
5294,anavatapta,Buddh.,same-cluster,"| of a lake (= Rāvaṇa-hrada), ib.",
6414,anudakam,KātyŚr.,same-cluster,"| without adding water, ib.",
6689,anupaś,MBh.,same-cluster,"anu-√ paS | P. Ā. -paSyati, ˚te, to look at, perceive, notice, discover, RV. &c.; to consider, reflect upon (acc.), MBh. &c.; to look upon as, take as, ib.; (perf. Ā. p. -paspaSAna/) to show (as the path), RV. x, 14, 1; ",
6719,anupahūta,ŚBr.,same-cluster,"| not accompanied with invitations, ib.",
6757,anupuruṣa,Pāṇ.,same-cluster,"anu-puruza | m. the before mentioned man, Pāṇ. vi, 2, 190, a follower, ib., Sch.",
7152,anulabh,KātyŚr.,same-cluster,"anu-√ laB | to grasp or take hold of (from behind), ŚBr.; KātyŚr.: Desid. -lipsate, to intend to grasp, ib.",
7271,anuvicint,Buddh.,same-cluster,"anu-vi-√ cint | to recall to mind, Buddh.; to meditate upon, ib.",
9288,apanāman,Pāṇ.,same-cluster,"apa-nAman | mfn. having a bad name, ib.",
9334,apapūta,Pāṇ.,same-cluster,"apa-pUta | mfn. having badly formed buttocks, ib.",
9378,apamukha,Pāṇ.,same-cluster,"| having an ill-formed face or mouth, ib.",
9710,apavṛ,RV.,same-cluster,"apa-√ 1. vf | (impf. 2. sg. a/pAvfRos, 3. sg. a/pAvfRot; Subj. -varat; aor. 2. and 3. sg. -Avar [Padap. -avar], 3. sg. Ā. -avfta; aor. Subj. 1. sg. -vam [for varm, RV. x, 28, 7], 3. sg. -var, 3. pl. -vran, Imper. 2. sg. ",
9884,apasmṛti,BhP.,same-cluster,"| absent in mind, confused, ib.",
9979.1,apāñc,AV.,same-cluster,"| western (opposed to prAYc), ib.",
10130.1,apāhāya,MBh.,same-cluster,"| disregarding, ib.",
10130.2,apāhāya,MBh.,same-cluster,"| excepting, except, ib.",
10439,apnas,Naigh.,same-cluster,"| shape, ib.",
10773,aprasahya,MBh.,same-cluster,"| irresistible, ib.",
12696,abhisaṃvṛta,MBh.,same-cluster,"| surrounded by, accompanied by, ib.",
12697,abhisaṃvṛta,MBh.,same-cluster,"| filled with, furnished with, ib.",
12714,abhisaṃskāra,Car.,same-cluster,"| preparation, ib.",
12726,abhisaṃspṛś,MBh.,same-cluster,"aBi-saM-√ spfS | to wash one's self, MBh. iii, 8080; to seize, ib. xii, 2140.",
12736,abhisaṃkruddha,MBh.,same-cluster,"| (gen.), ib. iii, 682.",
12772,abhisaṃdhā,MBh.,same-cluster,"1. aBi-saM-√ DA | (3. du. -Dattas; Imper. 2. sg. -Dehi; aor. -aDAt) to snap at (acc.) for devouring, RV. x, 87, 3; AV.; ŚBr.; Kāṭh.; to take aim at (dat. or acc.), MBh. &c.; to aim at, have in view (with acc.; rarely dat",
12969,abhihṛ,MBh.,same-cluster,"aBi-√ hf | to bring, offer, ŚBr. &c.; to pull off, tear off, MBh. iii, 14610 : Caus. -hArayati, to have brought to by, send by, Hariv.; to bring, offer, MBh. iv, 2364; to put on (as a cuirass), ib. iv, 1011 seqq.; to ass",
13009,abhyaya,KātyŚr.,same-cluster,"| setting (of the sun), ib.",
13228,abhyam,Pāṇ.,same-cluster,"aBy-√ am | aBy-a^mIti (VS. [quoted in Pāṇ. vii, 2, 34, Sch.; cf. also, ib. 3, 95, Sch.]; 2. sg. -a^mIzi; 3. pl. Subj. -ama/nti and impf. Ā. -a/manta) to advance violently against, pain, hurt, RV. i, 189, 3; vii, 25, 2 an",
13498,abhyucci,Bād.,same-cluster,"aBy-uc-√ 1. ci | to bring together in one place Comm. on Bād.; to treat (a subject) in connection with (another), ib.",
15065,araṇya,Hariv.,same-cluster,"| of a Sādhya, ib. 11536",
15100,araṇyarāj,N.,same-cluster,"| a lion, ib.",
15248,arāti,TBr.,same-cluster,"| particular evil spirits (who frustrate the good intentions and disturb the happiness of man), ib.",
15285,ari,VarBṛS.,same-cluster,"| N. of the sixth astrological mansion, ib. (in arithm.) the number six (cf. arAti)",
15310,arimejaya,Hariv.,same-cluster,"| of Kuru, ib.",
15431,aruṇa,BhP.,same-cluster,"| of the Daitya Mura, ib.",
15673,argala,Ragh.,same-cluster,"| a bar, check, impediment, ib.",
