k1_slp1,iast,mw_gloss,dcs_example_sentence,verdict
abAla,abāla,"m. cocoa-nut, L.",bālo 'pyabālacaritaḥ kākutstham avikramaḥ,
agnijAra,agnijāra,"m. N. of a frothy substance on the sea (cf. -garBa and -ja/), L.",ravitāpena saṃśuṣkaḥ so'gnijāra iti smṛtaḥ,
agresara,agresara,"mf(I)n. going in front, preceding, best, L.",purogāgresarapraṣṭhāgrataḥsarapuraḥsarāḥ,
ahimAra,ahimāra,"m. (= asi-meda, q.v.) the plant Vachellia Farnesiana, L.",aśvatthajambvāmradhanañjayatvak tvak cāhimārāt khadirasya sāraḥ,
ahiPena,ahiphena,"n. (= a-Pena, q.v.) ‘the saliva or venom of a snake’, opium, L.",guñjāhipheno dhattūraḥ saptopaviṣajātayaḥ,
akzIba,akṣība,"mfn. not intoxicated, sober, L. m. Guilandina or Hyperanthera Moringa, L.; n. sea salt, L.",sāmudraṃ yat tu lavaṇamakṣīvaṃ vaśiraṃ ca tat,
alakta,alakta,"m. (said to be for arakta), red juice or lac (obtained from the red resin of certain trees",lākṣā rākṣā jatu klībe yāvo 'lakto drumāmayaḥ,
amaraRa,amaraṇa,"n. the not dying, immortality, L.",niśitāsirato 'bhīko nyejate 'maraṇā rucā,
anupraveSa,anupraveśa,"entrance into; imitation, L.",tasmādanupraveśasya siddhyai kālaṃ harāmy aham,
anvakza,anvakṣa,"mfn. (fr. 4. akza), following, L.",aparaḥ kokilo 'nvakṣaṃ pratiśrutkeva kūjati,
arjaka,arjaka,"mfn. procuring, acquiring, L.",site 'rjako 'tra pāṭhī tu citrako vahnisaṃjñakaḥ,
arogin,arogin,"mfn. healthy, L.",—  (no DCS sentence retrieved),
asrapitta,asrapitta,"n. = rakta-pitta, q.v., L.",vṛṣyaḥ śīto 'srapittaghnaḥ svādupākaraso rasaḥ,
asveda,asveda,"mfn. not perspiring, L.",śauryam āśukriyā tīkṣṇaṃ śastram asvedavepathū,
avaGozaRa,avaghoṣaṇa,"n. proclaiming, L.",bāhyeṣu tu pracchannam ahani kṣetrakhalaveśmāpaṇebhyaḥ kupyabhāṇḍam upaskaraṃ vā māṣamūlyād ūrdhvam ā pādamūlyād ityapaharatastripaṇo daṇḍaḥ gomayapradehena vā pralipyāvaghoṣaṇam ā dvipādamūlyād iti ṣaṭpaṇaḥ gomayabhasmanā vā pralipyāvaghoṣaṇam ā tripādamūlyād iti navapaṇaḥ gomayabhasmanā vā pralipyāvaghoṣaṇam śarāvamekhalayā vā ā paṇamūlyād iti dvādaśapaṇaḥ muṇḍanaṃ pravrājanaṃ vā ā dvipaṇamūlyād iti caturviṃśatipaṇaḥ muṇḍasyeṣṭakāśakalena pravrājanaṃ vā ā catuṣpaṇamūlyād iti ṣaṭtriṃśatpaṇa ā pañcapaṇamūlyād ityaṣṭacatvāriṃśatpaṇaḥ ā daśapaṇamūlyād iti pūrvaḥ sāhasadaṇḍa ā viṃśatipaṇamūlyād iti dviśata ā triṃśatpaṇamūlyād iti pañcaśata ā catvāriṃśatpaṇamūlyād iti sāhasra ā pañcāśatpaṇamūlyād iti vadhaḥ,
aNgulIya,aṅgulīya,"am, n. a finger-ring; also aNgulIka, L.",rāmāṅgulīyaṃ saṃgṛhya hanūmān vānaraiḥ saha,
aR,aṇ,"cl. 1. P. aRati, ARa, aRitum, to sound, L. : cl. 4. Ā. aRyate, to breathe, (another form o",ṇyakṣatriyārṣañito yūni lug aṇiñoḥ,
bahuPalA,bahuphalā,f. N. of various plants (Solanum Indicum or another variety of Solanum; Glycine Debilis; a,kṣīrayuktā bahuphalā granthiyuktā ca pārvati,
BavatI,bhavatī,"(atI), f. a partic. kind of poisoned arrow, L.",bhavatpūrvayā brāhmaṇo bhikṣeta bhavati bhikṣāṃ dehīti,
BUlatA,bhūlatā,"f. an earth-worm, L.",bhūlatā sikthakaṃ tulyaṃ limpettailaiḥ kusumbhajaiḥ,
BfNgaja,bhṛṅgaja,"m. Agallochum, L.",śuddhaṃ sūtaṃ pāradaṃ bhāgaikaṃ dvidhā dvibhāgaṃ gandhakaṃ tīkṣṇacūrṇaṃ dvayoḥ samaṃ tribhāgaṃ bhṛṅgajo bhṛṅgarājaḥ kākamācī prasiddhā kuraṇṭaḥ pītavāsā,
bIjavara,bījavara,"m. ‘best of grains’, Phaseolus Radiatus, L.",varanāgaṃ śreṣṭhajāti sīsakaṃ jāraṇayogyaṃ rasarājaṃ uktasaṃskāraiḥ saṃskṛtaṃ pāradaṃ bījavaraṃ hemabījaṃ etattrayaṃ sāritaṃ militaṃ kāryaṃ punargandhakaśilālasahitaṃ gandhakaṃ pratītaṃ śilā manaḥśilā ālaṃ haritālaṃ dvandvastāni taiḥ sahitaṃ ca kāryaṃ etat sarvaṣaṭkaṃ dīpavartitaḥ prajvālitadīpavartiyogāt nirnāgaṃ nāgavarjitaṃ bhavati nāgaṃ jaratītyarthaḥ,
bfhannaqa,bṛhannaḍa,"m. reed-grass, Amphidonax Karka, L.",veṇīkṛtaśirā rājannāmnā caiva bṛhannaḍaḥ,
cetakI,cetakī,"f. = ˚tanikA, L.",harītakī haimavatī cetakī śreyasī śivā,
CARaka,chāṇaka,"m. a partic. mixed caste, L.",chāṇakāni kaṭāhātte yāmārdhaṃ jvālayedyathā,
citraPalA,citraphalā,"f. N. of several plants (cirBiwA, mfgervAru, citra-devI, vArtAkI, kaRwakArI), L.",cirbhiṭikā citraphalā cīnāraṃ cirbhaṭaṃ smṛtam,
cUrRapArada,cūrṇapārada,"m. vermilion, L.",hiṅgulaṃ daradaṃ mlecchaṃ hiṅguliścūrṇapāradam,
dravIkf,dravīkṛ,"to liquefy, melt, L.",kṣudrīkṛtaḥ sājya caṭusthito 'gnau dravīkṛto dugdhanipātito vā,
dIrGapattrA,dīrghapattrā,"f. a kind of plant related to the Hemionitis Cordifolia, L.",varṣābhūḥ dīrghapattrā ca vikasas tu kaṭhillakaḥ,
gajAsya,gajāsya,"m. = ˚ja-muKa, L.",dvaimāturo gajāsyaikadantau lambodarākhugau,
ganDapAzARa,gandhapāṣāṇa,"m. sulphur, L.",triṃśadbhāgā bhujaṅgasya gandhapāṣāṇapañcakam,
ganDASman,gandhāśman,"m. = ˚Da-pAzARa, L.",pūtigandho balivatsā gandhāśmā dhātuhā balī,
gaRqamAla,gaṇḍamāla,"m. inflammation of the glands of the neck, L.",gaṇḍamālārbudagranthisthaulyakuṣṭhabhagandarān,
GoRwA,ghoṇṭā,"f. a kind of jujube, L.",sauvīraṃ badaraṃ ghoṇṭāpyatha syātsvādukaṇṭakaḥ,
girikarRI,girikarṇī,"f. = ˚RA, L.",āsphoṭā girikarṇī syādviṣṇukrāntāparājitā,
halinI,halinī,"(inI), f. a number of ploughs, L.",snukkṣīrapiṣṭaiḥ ṣaḍgranthāhalinīvāraṇāsthibhiḥ,
harabIja,harabīja,"n. ‘Śiva's seed’, quicksilver, L.",harabījaṃ śatapalaṃ khallamadhye vinikṣipet,
hayAri,hayāri,"m. ‘h˚-foe’, Nerium Odorum, L.",hayāriḥ karavīraḥ,
hemamAkzika,hemamākṣika,"n. pyrites, L.",hemamākṣikam āvartaṃ tāpījaṃ dhātumākṣikam,
hemAhvA,hemāhvā,"(A), f. Hoya Viridiflora, L.",hemāhvā pītadugdhā ca tanmūlaṃ cokamucyate,
izwikA,iṣṭikā,"f. = i/zwakA, q.v., L.",ghṛṣṭveṣṭikācūrṇakaṇair jalena prakṣālya saṃśoṣya ca mārutena,
jasada,jasada,"n. zinc, L.",jasadaṃ raṅkasadṛśaṃ ditihetuśca tanmatam,
jIvanI,jīvanī,"f. N. of several plants (jIvantI/, kAkoli, doqI, medA, mahA-medA, yUTI), L. (cf. a/-; puru",jīvantī jīvanī jīvā jīvanīyā madhusravā,
kajjalI,kajjalī,"f. Aethiops Mineralis, L.",kajjalīṃ hemapatrāṇi lepayetsamayā tayā,
kalpAnta,kalpānta,"m. the end of a Kalpa, dissolution of all things, L. (cf. pralaya)",saṃvartaḥ pralayaḥ kalpaḥ kṣayaḥ kalpānta ityapi,
karaSAKA,karaśākhā,"f. a finger, L.",aṅgulyaḥ karaśākhāḥ syuḥ puṃsyaṅguṣṭhaḥ pradeśinī,
karIzAgni,karīṣāgni,"m. a fire of dry cow-dung (this substance is very generally used as fuel in Hindūstān), L.",karīṣāgnau divārātraṃ trirātraṃ vā tuṣāgninā,
kaYcukI,kañcukī,"f. Lipeocercis Serrata, L.",anyatra vetrivetravitrāsitajanadattāntarālāḥ dhriyamāṇadhavalātapatravanā vanadevatā iva kalpatarutalavicāriṇyaḥ kāścit skandhobhayapālīlambamānalambottarīyalagnahastā līlādolādhirūḍhā iva preṅkhantyaḥ kāścit kanakakeyūrakoṭivipāṭyamānapaṭṭāṃśukottaraṅgās taraṅgiṇya iva taraccakravākasīmantyamānasrotasaḥ kāścid uddhūyamānadhavalacāmarasaṭālagnatrikaṇṭakavalitavikaṭakaṭākṣāḥ sarasya iva haṃsākṛṣyamāṇanīlotpalavanāḥ kāścic calaccaraṇacyutālaktakāruṇasvedaśīkarasicyamānabhavanahaṃsāḥ saṃdhyārāgarajyamānendubimbā iva kaumudīrajanyaḥ kāścit kaṇṭhanihitakāñcanakāñcīguṇāñcitakañcukivikārākuñcitabhruvaḥ kāmavāgurā iva prasāritabāhupāśā rājamahiṣyaḥ prārabdhanṛttā vilesuḥ,
kaRWI,kaṇṭhī,"(I), f. neck, throat, L.",deśād deśāt samoﾱhānāṃ sarvāsām āḍhyaduhitṝṇām daśādadāt sahasrāṇy ātreyo niṣkakaṇṭhyaḥ,
kazAyaka,kaṣāyaka,"m. the shrub Acacia Catechu, L.",kalkaś ca cūrṇaṃ ca ghaṭī tṛtīye kaṣāyakaṃ jīryati yāmamātre,
kawutEla,kaṭutaila,"m. white mustard, L.",kacchūṃ vicarcikāṃ cāśu kaṭutailaṃ nibarhati,
kawutraya,kaṭutraya,"n. an aggregate of three pungent substances or spices (as ginger, black and long pepper), ",kaṭutrayaṃ giriṃ hanti atyagniṃ ca trikaṇṭakaḥ,
keSI,keśī,"f. a lock of hair on the crown of the head, L.",tasyai hiraṇyakeśyai nirṛtyā akaraṃ namaḥ,
KawI,khaṭī,"f. chalk, L.",gandho hiṅgulamabhratālakaśilāḥ sroto'ñjanaṃ ṭaṅkaṇaṃ rājāvartakacumbakau sphaṭikayā śaṅkhaḥ khaṭīgairikam,
kokilAkzaka,kokilākṣaka,"m. id., L.",kokilākṣakaniryūhaḥ pītas tacchākabhojinā,
krOYcadvIpa,krauñcadvīpa,"m. N. of a Dvīpa (see krOYca), L.",krauñcadvīpe dyutimataḥ putrāḥ sapta mahātmanaḥ,
kuddAla,kuddāla,"m. id., L.",abhriḥ strī kāṣṭhakuddālaḥ sekapātraṃ tu secanam,
kumpa,kumpa,"mfn. crooked-armed, L.",kācakumpe mṛdā limpen madhye niyāmakaṃ rasam,
kuraRwa,kuraṇṭa,"m. yellow amaranth (pItAmlAna), L.",vṛkṣādanīnalakuśadvayaguṇṭhagundrābhallūkamoraṭakuraṇṭakarambhapārthāḥ,
kAkamAcikA,kākamācikā,"f. the plant Solanum indicum (commonly Gūrkamai), L.",kusumbhikā ca karkoṭī kadalī kākamācikā,
kAkatuRqI,kākatuṇḍī,"f. Asclepias Curassavica, L.",matsarī kākatuṇḍī ca yojanīyā yathākramam,
kAntaloha,kāntaloha,"n. the loadstone, L.",taptaṃ dugdhaṃ bhavati śikharākārakaṃ naiti bhūmikṛṣṇāṅgaḥ syātsajalacaṇakaḥ kāntalohaṃ taduktam,
kAntapAzARa,kāntapāṣāṇa,"m. the iron-stone, load-stone, L.",cumbakaḥ kāntapāṣāṇo'yaskānto lohakarṣakaḥ,
kANkzI,kāṅkṣī,"f. a kind of fragrant earth, L. (cf. kAkzI and kacCI/.)",kāṅkṣīṃ ca hastimūtreṇa piṣṭvā chāyāviśoṣitā,
kfzRalavaRa,kṛṣṇalavaṇa,"n. black salt, L.",dāḍimaṃ kṛṣṇalavaṇaṃ śuṇṭhīhiṅgvamlavetasam,
kfzRABra,kṛṣṇābhra,"n. dark talc, L.",evaṃvidhaṃ kṛṣṇābhraṃ svedāntarvahnitāpamadhye rasaḥ pāradaś carati grasati mākṣikasaṃyogāt kṣipram iti bhāvaḥ,
kzudvat,kṣudvat,"mfn. hungry, L.",atyāśito 'dhṛtiḥ kṣudvān duḥsthitāṅgaḥ pipāsitaḥ,
kzAratraya,kṣāratraya,"n. ‘a triad of acrid substances’, natron, saltpetre, and borax, L.",ṭaṅkaṇena yutaṃ tattu kṣāratrayamudīritam,
kzIrakanda,kṣīrakanda,"m. Batatus paniculata, L.",kṣīravallī kṣīrakandā kṣīraśuklā payasvinī,
lavaMgaka,lavaṃgaka,"n. cloves, L.",kastūrīvyoṣakapūraiḥ kaṅkolailālavaṃgakam,
luNga,luṅga,"= mAtuluNga, a citron, L.",mātuluṅgo bījapūro luṅgaś ca phalapūrakaḥ,
