A.	<id>A.</id> <disp>Active</disp> <INFER/>
Ā.	<id>Ā.</id> <disp>Ātmane-pada</disp>  used in VLEX
Ādi-p.	<id>Ādi-p.</id> <disp>Ādi-parvanof the mahā-Bhārata</disp> <UNMARKED>
abl.	<id>abl.</id> <disp>ablative case</disp>
Abl.	<id>Abl.</id> <disp>ablative case</disp> <INFER/>
above	<id>above</id> <disp>a reference to some preceeding word (not necessarily in the same page)</disp>  <UNMARKED>
abstr.	<id>abstr.</id> <disp>abstract</disp> <INFER/>
acc.	<id>acc.</id> <disp>accusative case OR according</disp>
Acc.	<id>Acc.</id> <disp>accusative case OR according</disp>  <INFER/>
accord.	<id>accord.</id> <disp>according to</disp>
add.	<id>add.</id> <disp>additions</disp>
adj.	<id>adj.</id> <disp>adjective (cf. mfn.)</disp>
adv.	<id>adv.</id> <disp>adverb</disp>
Aeol.	<id>Aeol.</id> <disp>AEolic</disp>
Afghan.	<id>Afghan.</id> <disp>language of Afghanistan</disp>
alg.	<id>alg.</id> <disp>algebra</disp>
anat.	<id>anat.</id> <disp>anatomy</disp>
Angl.Sax.	<id>Angl.Sax.</id> <disp>Anglo-Saxon</disp>
A.S.	<id>A.S.</id> <disp>Anglo-Saxon</disp>
OSax.	<id>OSax.</id> <disp>Old Saxon</disp>
Old Sax.	<id>Old Sax.</id> <disp>Old Saxon</disp>
Goth. Old S.	<id>Goth. Old S.</id> <disp>Gothic Old Saxon</disp>
A.D.	<id>A.D.</id> <disp>anno Domini, in the year of the Lord</disp>
B.C.	<id>B.C.</id> <disp>before Christ</disp>
B	<id>B</id> <disp>Bombay edition</disp>
C	<id>C</id> <disp>Calcutta edition</disp>
Calc.	<id>Calc.</id> <disp>Calcutta edition</disp>
anom.	<id>anom.</id> <disp>anomalous</disp>
Aor.	<id>Aor.</id> <disp>Aorist</disp>
aor.	<id>aor.</id> <disp>Aorist</disp>
Arab.	<id>Arab.</id> <disp>Arabic</disp>
arithm.	<id>arithm.</id> <disp>arithmetic</disp>
Arm.	<id>Arm.</id> <disp>Armorican or the language of Brittany</disp>
Armen.	<id>Armen.</id> <disp>Armenian</disp>
Armor.	<id>Armor.</id> <disp>Armorican or the language of Brittany</disp> <UNMARKED>
astrol.	<id>astrol.</id> <disp>astrology</disp>
astron.	<id>astron.</id> <disp>astronomy</disp>
B.	<id>B.</id> <disp>Bombay edition</disp>
B.C.	<id>B.C.</id> <disp>Before Christ</disp> <INFER/>
Beng.	<id>Beng.</id> <disp>Bengali</disp> <UNMARKED>
Boh.	<id>Boh.</id> <disp>Bohemian</disp> <UNMARKED>
Bohem.	<id>Bohem.</id> <disp>Bohemian</disp> <UNMARKED>
Bomb.	<id>Bomb.</id> <disp>Bombay edition</disp> <INFER/>
Br.	<id>Br.</id> <disp>Brāhmaṇa</disp>  <UNMARKED>
Bret.	<id>Bret.</id> <disp>Breton</disp>  <UNMARKED>
C.	<id>C.</id> <disp>Calcutta edition</disp>
Buddh.	<id>Buddh.</id> <disp>Buddhist</disp>
c.	<id>c.</id> <disp>case</disp>
Calc.	<id>Calc.</id> <disp>Calcutta edition</disp>
Cambro-Brit.	<id>Cambro-Brit.</id> <disp>Cambro-Briton, or Welsh</disp> <INFER/>
Cat.	<id>Cat.</id> <disp>catalogue or catalogues</disp>  <UNMARKED> <ls>?
Caus.	<id>Caus.</id> <disp>Causal</disp>
cf.	<id>cf.</id> <disp>confer, compare</disp>
Cf.	<id>Cf.</id> <disp>confer, compare</disp> <INFER/>
ch.	<id>ch.</id> <disp>chapter</disp>
cl.	<id>cl.</id> <disp>class</disp>  <UNMARKED> used in <vlex>, not <ab>
Class.	<id>Class.</id> <disp>Classical</disp>
class.	<id>class.</id> <disp>Classical</disp>
col.	<id>col.</id> <disp>column</disp>
cols.	<id>cols.</id> <disp>columns</disp>
Comm.	<id>Comm.</id> <disp>commentator or commentary</disp>
Comms.	<id>Comms.</id> <disp>commentators or commentaries</disp> <INFER/>
comp.	<id>comp.</id> <disp>compound</disp>
compar.	<id>compar.</id> <disp>Comparative degree</disp>
Compar.	<id>Compar.</id> <disp>Comparative degree</disp> <INFER/>
concl.	<id>concl.</id> <disp>conclusion</disp> <UNMARKED>
Concl.	<id>Concl.</id> <disp>conclusion</disp> <INFER/>
concr.	<id>concr.</id> <disp>concrete</disp> <INFER/>
Cond.	<id>Cond.</id> <disp>Conditional</disp>
cond.	<id>cond.</id> <disp>Conditional</disp> <INFER/>
conj.	<id>conj.</id> <disp>conjectural</disp>
Conj.	<id>Conj.</id> <disp>conjectural</disp>
cons.	<id>cons.</id> <disp>consonant</disp>
dat.	<id>dat.</id> <disp>dative case</disp>
Dat.	<id>Dat.</id> <disp>dative case</disp>  <INFER/>
defect.	<id>defect.</id> <disp>defective</disp>
Desid.	<id>Desid.</id> <disp>Desiderative</disp>
Des.	<id>Des.</id> <disp>Desiderative</disp>
Desid. Caus.	<id>Desid. Caus.</id> <disp>Desiderative Causal</disp>
Desid. Pass.	<id>Desid. Pass.</id> <disp>Desiderative Passive</disp>
dimin.	<id>dimin.</id> <disp>diminutive</disp>
Dor.	<id>Dor.</id> <disp>Doric</disp>
dram.	<id>dram.</id> <disp>dramatic language</disp>
du.	<id>du.</id> <disp>dual number</disp>
e.g.	<id>e.g.</id> <disp>exempli gratia, ‘for example’</disp>
ed.	<id>ed.</id> <disp>edition</disp>
encl.	<id>encl.</id> <disp>enclitic</disp>
Eng.	<id>Eng.</id> <disp>English</disp>
Engl.	<id>Engl.</id> <disp>English</disp> <INFER/>
Ep.	<id>Ep.</id> <disp>Epic</disp>  <UNMARKED>  (lower case marked)
ep.	<id>ep.</id> <disp>Epic</disp>
esp.	<id>esp.</id> <disp>especially</disp>
etym.	<id>etym.</id> <disp>etymology</disp>
f.	<id>f.</id> <disp>feminine</disp> NOTE: NORMALLY in <lex>
fem.	<id>fem.</id> <disp>feminine</disp> <INFER/>
fig.	<id>fig.</id> <disp>figuratively</disp>
Feb.	<id>Feb.</id> <disp>February</disp>
fr.	<id>fr.</id> <disp>from</disp>
Fr.	<id>Fr.</id> <disp>From or French</disp>
Fut.	<id>Fut.</id> <disp>future</disp>
fut.	<id>fut.</id> <disp>future</disp>
fut.p.p.	<id>fut.p.p.</id> <disp>future passive participle</disp>  <UNMARKED>
fut.Pass.p.	<id>fut.Pass.p.</id> <disp>future passive participle</disp>  <INFER/>
g.	<id>g.</id> <disp>gaṇa</disp>
G.	<id>G.</id> <disp>Gaspard Gorresio Italian edition</disp> <INFER/>
