A.	<disp>Active</disp> <INFER/>
Ā.	<disp>Ātmane-pada</disp>  used in VLEX
Ādi-p.	<disp>Ādi-parvanof the mahā-Bhārata</disp> <UNMARKED>
abl.	<disp>ablative case</disp>
Abl.	<disp>ablative case</disp> <INFER/>
above	<disp>a reference to some preceeding word (not necessarily in the same page)</disp>  <UNMARKED>
abstr.	<disp>abstract</disp> <INFER/>
acc.	<disp>accusative case OR according</disp>
Acc.	<disp>accusative case OR according</disp>  <INFER/>
accord.	<disp>according (to)</disp>
add.	<disp>additions</disp>
adj.	<disp>adjective (cf. mfn.)</disp>
adv.	<disp>adverb</disp>
Aeol.	<disp>AEolic</disp>
Afghan.	<disp>language of Afghanistan</disp>
alg.	<disp>algebra</disp>
anat.	<disp>anatomy</disp>
Angl.Sax.	<disp>Anglo-Saxon</disp>
A.S.	<disp>Anglo-Saxon</disp>
OSax.	<disp>Old Saxon</disp>
Old Sax.	<disp>Old Saxon</disp>
Goth. Old S.	<disp>Gothic Old Saxon</disp>
A.D.	<disp>anno Domini, in the year of the Lord</disp>
B.C.	<disp>before Christ</disp>
B	<disp>Bombay edition</disp>
C	<disp>Calcutta edition</disp>
Calc.	<disp>Calcutta edition</disp>
anom.	<disp>anomalous</disp>
Aor.	<disp>Aorist</disp>
aor.	<disp>Aorist</disp>
Arab.	<disp>Arabic</disp>
arithm.	<disp>arithmetic</disp>
Arm.	<disp>Armorican or the language of Brittany</disp>
Armen.	<disp>Armenian</disp>
Armor.	<disp>Armorican or the language of Brittany</disp> <UNMARKED>
astrol.	<disp>astrology</disp>
astron.	<disp>astronomy</disp>
B.	<disp>Bombay edition</disp>
Beng.	<disp>Bengali</disp> <UNMARKED>
Boh.	<disp>Bohemian</disp> <UNMARKED>
Bohem.	<disp>Bohemian</disp> <UNMARKED>
Bomb.	<disp>Bombay edition</disp> <INFER/>
Br.	<disp>Brāhmaṇa</disp>  <UNMARKED>
Bret.	<disp>Breton</disp>  <UNMARKED>
C.	<disp>Calcutta edition</disp>
Buddh.	<disp>Buddhist</disp>
c.	<disp>case</disp>
Cambro-Brit.	<disp>Cambro-Briton, or Welsh</disp> <INFER/>
Cat.	<disp>catalogue or catalogues</disp>  <UNMARKED> <ls>?
Caus.	<disp>Causal, Causative</disp>
cf.	<disp>confer, compare</disp>
Cf.	<disp>confer, compare</disp> <INFER/>
ch.	<disp>chapter</disp>
cl.	<disp>class</disp>  <UNMARKED> used in <vlex>, not <ab>
Class.	<disp>Classical</disp>
class.	<disp>Classical</disp>
col.	<disp>column</disp>
cols.	<disp>columns</disp>
Comm.	<disp>commentator or commentary</disp>
Comms.	<disp>commentators or commentaries</disp> <INFER/>
comp.	<disp>compound</disp>
compar.	<disp>Comparative degree</disp>
Compar.	<disp>Comparative degree</disp> <INFER/>
concl.	<disp>conclusion</disp> <UNMARKED>
Concl.	<disp>conclusion</disp> <INFER/>
concr.	<disp>concrete</disp> <INFER/>
Cond.	<disp>Conditional</disp>
cond.	<disp>Conditional</disp> <INFER/>
conj.	<disp>conjectural</disp>
Conj.	<disp>conjectural</disp>
cons.	<disp>consonant</disp>
dat.	<disp>dative case</disp>
Dat.	<disp>dative case</disp>  <INFER/>
defect.	<disp>defective</disp>
Desid.	<disp>Desiderative</disp>
Des.	<disp>Desiderative</disp>
Desid. Caus.	<disp>Desiderative Causal</disp>
Desid. Pass.	<disp>Desiderative Passive</disp>
dimin.	<disp>diminutive</disp>
Dor.	<disp>Doric</disp>
dram.	<disp>dramatic language</disp>
du.	<disp>dual number</disp>
e.g.	<disp>exempli gratia, ‘for example’</disp>
ed.	<disp>edition</disp>
encl.	<disp>enclitic</disp>
Eng.	<disp>English</disp>
Engl.	<disp>English</disp> <INFER/>
Ep.	<disp>Epic</disp>  <UNMARKED>  (lower case marked)
ep.	<disp>Epic</disp>
esp.	<disp>especially</disp>
etym.	<disp>etymology</disp>
f.	<disp>feminine</disp> NOTE: NORMALLY in <lex>
fem.	<disp>feminine</disp> <INFER/>
fig.	<disp>figuratively</disp>
Feb.	<disp>February</disp>
fn.	<disp>feminine or neuter</disp>   USED IN <lex>
fr.	<disp>from</disp>
Fr.	<disp>From or French</disp>
Fut.	<disp>future</disp>
fut.	<disp>future</disp>
fut.p.p.	<disp>future passive participle</disp>  <UNMARKED>
fut.Pass.p.	<disp>future passive participle</disp>  <INFER/>
g.	<disp>gaṇa</disp>
G.	<disp>Gaspard Gorresio Italian edition</disp> <INFER/>
G	<disp>Gaspard Gorresio Italian edition</disp> <INFER/>
